FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,TIPO_ROBO,LON,OID,LONG,LAT
210589177,30421,ROBO TRANSEUNTE,5,2021-05-28,21,5,1,FRACCIONAMIENTO,MEXICO,1081,AVENIDA,AGUASCALIENTES SUR,0,NA,",,,",AVENIDA,FERROCARRIL,5,7,50,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES UNO COMPLEXION MEDIA OTRO COMPLEXION DELGADA TEZ MORENO,ND,0,0,false,N,N,"3,26,28",200,200,false,1,1,1,TRANSEUNTE,-102.27790000,1,-102.27798547,21.86029832
210590794,30422,ROBO TRANSEUNTE,5,2021-05-28,21,5,1,CC,CC CHEDRAUI NORTE,660,BOULEVARD,LUIS DONALDO COLOSIO,0,NA,",,,",AVENIDA,INDEPENDENCIA,6,15,48,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,8000,false,1,1,1,OPORTUNISTA,-102.29420000,2,-102.29428910,21.92638450
210590860,30421,ROBO TRANSEUNTE,5,2021-05-28,21,5,1,FRACCIONAMIENTO,CONSTITUCION,794,AVENIDA,AGUASCALIENTES NORTE,0,NA,",,,",AVENIDA,CONSTITUCION,3,11,4,0,false,true,3,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,250,250,false,1,6,1,TRANSEUNTE,-102.28660000,3,-102.28662825,21.91548793
210592913,30422,ROBO TRANSEUNTE,5,2021-05-28,21,5,1,UNIDAD HABITACIONAL,IV CENTENARIO,1065,AVENIDA,FERROCARRIL,0,NA,"1327,,,",AVENIDA,CONVENCION DE 1914 SUR,5,23,48,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,3,0,5000,false,1,1,1,TRANSEUNTE,-102.27800000,4,-102.27809300,21.86853110
210593014,30421,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,CALLE,PEDRO QUINTANAR,0,NA,"123,,,",CALLE,MIAHUATLAN,3,0,6,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,MOTOCICLETA,MOTOCICLETA COLOR BLANCO,14,0,0,false,1,1,1,MARIPOSA,-102.25490000,5,-102.25493819,21.90831542
210594250,30421,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,SIN TIPO,NORIAS DE OJOCALIENTE,353,CALLE,RUBI,0,NA,",,,",CALLE,DIAMANTES,4,5,15,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.21660000,6,-102.21661500,21.88995200
210595598,30422,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,FRACCIONAMIENTO,MODERNO,667,CALLE,VISTA HERMOSA,0,NA,"1407,,,",PROLONGACION,DOCTOR SALVADOR QUEZADA LIMON,6,14,4,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ISMAEL DE JESUS MARMILEJO DAVILA,1,0,false,N,N,14,0,0,false,1,4,1,MARIPOSA,-102.31470000,7,-102.31475302,21.88616967
210595999,30421,ROBO TRANSEUNTE,5,2021-05-29,21,6,5,COLONIA,MARTINEZ ANDRADE,176,AVENIDA,MIGUEL HIDALGO,0,NA,",,,",CALLE,SAN LORENZO,7,15,39,0,false,true,4,NA,NA,0,NA,0,2 HOMBRES 1 MUJER,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.34280000,8,-102.34280682,21.95888228
210596727,30422,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,FRACCIONAMIENTO,VNSA SECTOR ESTACION,502,CALLE,JUAN CONTRERAS PALACIOS,0,NA,"319,,,",CALLE,FRANCISCO ARMENGOL,3,18,46,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,0,false,1,1,1,OPORTUNISTA,-102.25750000,9,-102.25751471,21.93749979
210597676,30421,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,AVENIDA,POLIDUCTO,0,NA,",,,",CALLE,DIAGONAL ALFIL,5,21,49,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES AMBOS DE 22 A 26 AÑOS DE EDAD APROX,ND,0,0,false,MOTOCICLETA,MOTOCICLETA,"3,15,28,29",900,7900,false,1,1,1,TRANSEUNTE,-102.25530000,10,-102.25534970,21.84557735
210597688,30421,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,VILLA CONSTITUCION,0,NA,"210,,,",CALLE,ELIAS DE LARA,3,22,4,0,false,true,1,NA,NA,0,NA,0,3 HOMBRES DE EDAD APROX 20 A 30 AÑOS,ND,0,0,false,N,N,3,0,3000,false,1,2,1,TRANSEUNTE,-102.25010000,11,-102.25013647,21.92623007
210597742,30422,ROBO TRANSEUNTE,5,2021-05-29,21,6,1,FRACCIONAMIENTO,MEXICO,1081,AVENIDA,AGUASCALIENTES SUR,0,NA,",,,",CALLE,CHIHUAHUA,5,22,13,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.27840000,12,-102.27845143,21.86027253
210598440,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL JULIAN MEDINA,0,NA,",,,",CALLE,MANUEL RAMOS ARIZPE,2,0,40,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,4000,false,1,13,1,TRANSEUNTE,-102.30970000,13,-102.30970900,21.84676000
210599189,30421,ROBO TRANSEUNTE,5,2021-05-30,21,7,5,COLONIA,TROJES DE ALONSO,798,AVENIDA,SIGLO XXI,0,NA,",,,",AVENIDA,INDEPENDENCIA,7,3,31,0,false,true,3,NA,NA,0,NA,0,2 HOMBRES AMBOS DE 20 AÑOS DE EDAD APROX UNO DE TEZ MORENO Y L OTRO COMPLEXION DELGADO,ND,0,1,false,N,N,"3,28,29,31",1200,1200,false,1,1,1,TRANSEUNTE,-102.29775000,14,-102.29775000,21.94557000
210599233,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,ALTAGRACIA REYES A,0,NA,"435,,,",CALLE,PAULA DE J JIMENEZ DE YAÑEZ,4,3,47,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.25620000,15,-102.25620258,21.90398131
210599517,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,1,BARRIO,BARRIO SAN MARCOS,735,CALLE,JESUS F CONTRERAS,0,NA,",,,",CALLE,ANTONIO ARIAS BERNAL,1,5,3,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,"3,26,28",500,6500,false,1,1,1,OPORTUNISTA,-102.30370000,16,-102.30378700,21.87996000
210600528,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,PAULA DE J JIMENEZ DE YAÑEZ,0,NA,"106,,,",CALLE,BLAS E ROMO,4,11,54,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,"3,31",0,0,false,1,1,1,TRANSEUNTE,-102.25880000,17,-102.25887300,21.90353200
210600604,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,5,COLONIA,CENTRO,126,AVENIDA,MARGARITAS,0,NA,"134,,,",CALLE,ALEGRIA,7,12,16,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,2,OPORTUNISTA,-102.29260000,18,-102.29264678,21.99523144
210601348,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,EL TILDIO,0,NA,"303,,,",CALLE,REFUGIO MIRANDA AGUAYO,3,15,31,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,0,false,1,1,1,OPORTUNISTA,-102.26090000,19,-102.26092634,21.91112181
210602069,30422,ROBO TRANSEUNTE,5,2021-05-30,21,7,1,FRACCIONAMIENTO,CASA BLANCA,553,CALLE,MONTE ALBAN,0,NA,",,,",CALLE,VIVERO DE LA FLORESTA,5,18,41,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,CAMIONETA,PICK UP COLOR ROJO,3,0,0,false,1,17,1,TRANSEUNTE,-102.27720000,20,-102.27725399,21.85621308
210604090,30422,ROBO TRANSEUNTE,5,2021-05-31,22,1,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,AVENIDA,OJOCALIENTE,0,NA,",,,",AVENIDA,RODOLFO LANDEROS GALLEGOS,4,3,0,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES UNO DE ELLOS CON LENTES Y DE ESTATURA BAJA,ND,0,0,false,N,N,31,0,0,false,1,2,1,TRANSEUNTE,-102.25910000,21,-102.25910051,21.90051726
210604462,30422,ROBO TRANSEUNTE,5,2021-05-31,22,1,5,FRACCIONAMIENTO,AGUA CLARA,189,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,0,NA,",,,",CALLE,AGUAS TERMALES,7,5,27,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,BICICLETA,BICICLETA,39,0,0,false,1,2,1,TRANSEUNTE,-102.33740000,22,-102.33743939,21.95722555
210604479,30421,ROBO TRANSEUNTE,5,2021-05-31,22,1,1,FRACCIONAMIENTO,LOMAS DEL MIRADOR IV,619,CALLE,LOMA DE ORIENTE,0,NA,"103,,,",CALLE,30 DE SEPTIEMBRE,5,5,33,0,false,true,2,NA,NA,0,NA,0,1 HOMBRE 23 AÑOS APROX PELO RIZADO COMPLEXION DELGADA ESTATURA 170 APROX,ND,0,0,false,N,N,"28,29,40",300,300,false,1,2,1,TRANSEUNTE,-102.26080000,23,-102.26086846,21.84876004
210605242,30422,ROBO TRANSEUNTE,5,2021-05-31,22,1,5,FRACCIONAMIENTO,RESIDENCIAL AUGUSTA,214PR,CALLE,PALERMO,0,NA,"106,,,",CALLE,FLORENCIA,7,10,34,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,"3,29",0,0,false,1,13,1,TRANSEUNTE,-102.31050000,24,-102.31058200,21.95888300
210605860,30422,ROBO TRANSEUNTE,5,2021-05-31,22,1,5,FRACCIONAMIENTO,PUERTA GRANDE,162,BOULEVARD,UEGENIO GARZA SADA,0,NA,",,,",AVENIDA,EL MOLINO,7,1,30,0,false,false,9,NA,NA,0,NA,0,1 PERSONA,ND,0,0,false,N,N,29,0,0,false,1,2,1,OPORTUNISTA,-102.34280000,25,-102.34284336,21.94364713
210607766,30422,ROBO TRANSEUNTE,5,2021-05-31,22,1,6,FRACCIONAMIENTO,VERGEL DEL VALLE,98,CALLE,VERGEL,0,NA,",,,",CALLE,VENDIMIA,7,21,8,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,"3,14",0,6100,false,1,6,1,TRANSEUNTE,-102.28800000,26,-102.28801899,22.15151439
210608035,30421,ROBO TRANSEUNTE,5,2021-05-31,22,1,1,UNIDAD HABITACIONAL,POTRERO DEL OESTE,1098,ANDADOR,DE LAS NUBES,0,NA,"119,,,",AVENIDA,PASEO DE LA ASUNCION,2,22,7,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,LUIS ENRIQUE SANTOS JIMENEZ ALIAS EL GATO,1,0,false,N,N,3,0,7000,false,1,4,1,TRANSEUNTE,-102.30070000,27,-102.30078200,21.84325600
210608060,30421,ROBO TRANSEUNTE,5,2021-05-31,22,1,1,COLONIA,DEL TRABAJO,477,CALLE,FRANCISCO GONZALEZ BOCANEGRA,0,NA,"218,,,",CALLE,BEETOVHEN,4,22,2,0,false,true,3,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,39,0,0,false,1,1,1,TRANSEUNTE,-102.27140000,28,-102.27145336,21.88559894
210609485,30422,ROBO TRANSEUNTE,6,2021-06-01,22,2,1,FRACCIONAMIENTO,EDUCACION ALAMOS,1074,CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA,0,NA,",,,",CALLE,JUVENTINO ESPINOZA,2,9,28,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,BICICLETA,BICICLETA,26,0,0,false,1,1,1,TRANSEUNTE,-102.32130000,29,-102.32139244,21.85696858
210609922,30422,ROBO TRANSEUNTE,6,2021-06-01,22,2,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,ESFUERZO NACIONAL,0,NA,",,,",CALLE,COMERCIANTES,4,11,31,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE 25 AÑOS APROX,ND,1,0,false,N,N,31,0,0,false,1,4,1,TRANSEUNTE,-102.26311000,30,-102.26311000,21.89249000
210610977,30422,ROBO TRANSEUNTE,6,2021-06-01,22,2,1,CC,CC VELARIA MALL,977,AVENIDA,DE LOS MAESTROS,0,NA,",,,",AVENIDA,AGUASCALIENTES PONIENTE,2,15,55,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE 1 MUJER,ND,0,0,false,COCHE,VERSA COLOR TINTO PLACAS AAW329C,28,400000,400000,false,1,1,1,OPORTUNISTA,-102.31560000,31,-102.31567823,21.85849346
210612956,30422,ROBO TRANSEUNTE,6,2021-06-01,22,2,1,COLONIA,EL LLANITO,988,CALLE,2 DE ABRIL,0,NA,"314,,,",CALLE,EULALIO GUTIERREZ,1,23,34,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,28,11500,11500,false,1,1,2,OPORTUNISTA,-102.28740000,32,-102.28748931,21.87785436
210612990,30421,ROBO TRANSEUNTE,6,2021-06-01,22,2,1,FRACCIONAMIENTO,SAN CAYETANO,1118,CALLE,CARLOS SAGREDO,0,NA,",,,",CALLE,SAN FRANCISCO,6,23,44,0,false,true,1,NA,NA,0,NA,0,8 PERSONAS,ND,0,0,false,N,N,28,170000,170000,false,1,2,1,TRANSEUNTE,-102.31010000,33,-102.31017467,21.89769568
210613976,30422,ROBO TRANSEUNTE,6,2021-06-02,22,3,6,FRACCIONAMIENTO,VERGEL DEL VALLE,98,CALLE,CRISANTEMO,0,NA,",,,",CALLE,FRANCISCO SERNA DE LARA NORTE,7,8,40,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,14,0,0,false,1,13,1,MARIPOSA,-102.28470000,34,-102.28472498,22.15049364
210614624,30421,ROBO TRANSEUNTE,6,2021-06-02,22,3,6,COLONIA,ZONA CENTRO,94,CALLE,FILOMENO MATA,0,NA,",,,",AVENIDA,REVOLUCION,7,13,32,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE COMPLEXION DELGADA TEZ MORENO,ND,0,0,false,N,N,3,0,4000,false,1,1,1,TRANSEUNTE,-102.27840000,35,-102.27841400,22.14623700
210615943,30422,ROBO TRANSEUNTE,6,2021-06-02,22,3,1,UNIDAD HABITACIONAL,POTRERO DEL OESTE,1098,ANDADOR,DEL SOL,0,NA,",,,",ANDADOR,AMANECER,2,19,35,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,"28,29",2000,2000,false,1,2,1,OPORTUNISTA,-102.30040000,36,-102.30049200,21.84245000
210616170,30421,ROBO TRANSEUNTE,6,2021-06-02,22,3,1,FRACCIONAMIENTO,VILLA MONTAÑA,501R,CALLE,SIERRA DE ALCUBIRRE,0,NA,"501,A,,",CALLE,CONSTITUCIONALISTA,3,19,56,0,false,true,3,NA,NA,0,NA,0,1 HOMBRE SU PADRE,ND,0,0,false,TAXI,TAXI COLOR BLANCO NISSAN TSURU,3,0,0,false,1,1,1,TRANSEUNTE,-102.26550000,37,-102.26554300,21.93711200
210616382,30422,ROBO TRANSEUNTE,6,2021-06-02,22,3,1,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,CALLE,SIERRA LA ALTEÑA,0,NA,"306,,,",CALLE,CUMBRES DE TENANGO,3,20,42,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,MOTOCICLETA,COLOR NEGRO,3,0,0,false,1,1,1,TRANSEUNTE,-102.25140000,38,-102.25146293,21.90673671
210616429,30421,ROBO TRANSEUNTE,6,2021-06-02,22,3,1,FRACCIONAMIENTO,VILLAS DE LA LOMA,454,CALLE,LOMA DEL PUMA,0,NA,"149,,,",CALLE,LOMA EL CARDENAL,3,20,52,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,14,0,0,false,1,1,1,MARIPOSA,-102.24710000,39,-102.24718203,21.91245505
210617472,30422,ROBO TRANSEUNTE,6,2021-06-03,22,4,1,FRACCIONAMIENTO,VNSA SECTOR ESTACION,502,CALLE,GERONIMO DE LA CUEVA,0,NA,",,,",CALLE,MANUEL ZAVALA MADRIGAL,3,2,4,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,31,0,0,true,1,6,1,TRANSEUNTE,-102.25814000,40,-102.25814000,21.93467500
210618215,30422,ROBO TRANSEUNTE,6,2021-06-03,22,4,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,324P,CALLE,EGEO,0,NA,"205,,,",CALLE,RANCHO SAN ANTONIO,5,10,32,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,EL CHALACA,0,0,false,N,N,3,0,3000,false,1,1,1,TRANSEUNTE,-102.26810000,41,-102.26812500,21.81015900
210619785,30422,ROBO TRANSEUNTE,6,2021-06-03,22,4,1,COLONIA,MACIAS ARELLANO,505,CALLE,CAMINO AL COBANO,0,NA,",,,",CALLE,P,3,18,14,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES UNO DE ELLOS COMPLEXION DELGADA TEZ MORENO,ND,0,0,false,N,N,14,0,0,false,1,1,1,MARIPOSA,-102.28360000,42,-102.28363909,21.90514292
210620923,30421,ROBO TRANSEUNTE,6,2021-06-03,22,4,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,BOULEVARD,GUADALUPANO,0,NA,",,,",AVENIDA,SIGLO XXI,3,23,8,0,false,true,3,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,3,0,13000,false,1,1,1,TRANSEUNTE,-102.25640000,43,-102.25644077,21.90713294
210624225,30421,ROBO TRANSEUNTE,6,2021-06-04,22,5,1,FRACCIONAMIENTO,PILAR BLANCO,981,ANDADOR,PASEO DEL QUETZAL,0,3MD,",15,,",CALLE,AGUILA,2,18,7,0,false,true,1,NA,NA,0,NA,0,3 HOMBRES,ND,0,0,false,N,N,"3,28",0,0,false,1,18,1,TRANSEUNTE,-102.30040000,44,-102.30049867,21.84872356
210624801,30422,ROBO TRANSEUNTE,6,2021-06-04,22,5,1,FRACCIONAMIENTO,LAS AMERICAS,406,AVENIDA,CONVENCION DE 1914 SUR,0,NA,",,,",AVENIDA,QUINTA,2,21,0,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.29830000,45,-102.29837637,21.86594757
210625065,30422,ROBO TRANSEUNTE,6,2021-06-04,22,5,1,CC,CC ESPACIO,737,AVENIDA,TECNOLOGICO,0,NA,",,,",CALLE,TECNOLOGICO,4,22,10,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,2,1,TRANSEUNTE,-102.26024000,46,-102.26024000,21.87798000
210625209,30421,ROBO TRANSEUNTE,6,2021-06-04,22,5,1,UNIDAD HABITACIONAL,POTRERO DEL OESTE,1098,CALLE,CANARIO,0,NA,",,,",AVENIDA,SIGLO XXI,2,22,43,0,false,true,4,NA,NA,0,NA,0,1 HOMBRE PELO LARGO,ND,1,0,false,N,N,3,0,0,false,1,4,1,TRANSEUNTE,-102.29920000,47,-102.29921237,21.84549030
210625312,30421,ROBO TRANSEUNTE,6,2021-06-04,22,5,5,FRACCIONAMIENTO,PASEOS GOMEZ PORTUGAL,130,CALLE,PASEO MARAVILLAS,0,NA,"305,,,",CALLE,NUEVA,7,22,41,0,false,true,4,NA,NA,0,NA,0,ND,ND,0,0,false,CAMIONETA,CAMIONETA CERRADA COLOR NEGRO,3,0,0,false,1,2,1,TRANSEUNTE,-102.29020000,48,-102.29023475,22.00147560
210625782,30422,ROBO TRANSEUNTE,6,2021-06-05,22,6,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,442,AVENIDA,RODOLFO LANDEROS GALLEGOS,0,NA,",,,",CALLE,CULTURA TEOTIHUACANA,3,1,16,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,0,false,1,2,1,TRANSEUNTE,-102.24420000,49,-102.24423835,21.90485265
210634482,30422,ROBO TRANSEUNTE,6,2021-06-06,22,7,1,BARRIO,DE GUADALUPE,910,CALLE,LARREATEGUI,0,NA,"623,,,",CALLE,ALAMAN,1,15,45,0,true,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,1,0,false,N,N,3,0,0,false,1,4,1,TRANSEUNTE,-102.30360000,50,-102.30369106,21.88645884
210635747,30422,ROBO TRANSEUNTE,6,2021-06-06,22,7,1,COLONIA,COL OJO DE AGUA,535,AVENIDA,CONVENCION DE 1914 SUR,0,NA,",,,",CALLE,MARIANO ESCOBEDO,5,20,7,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,14,0,3500,false,1,1,1,MARIPOSA,-102.27760000,51,-102.27763659,21.86786423
210636745,30421,ROBO TRANSEUNTE,6,2021-06-06,22,7,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,CALLE,DIAGONAL ALFIL,0,NA,"364,,,",CALLE,DEL MATE,5,23,16,0,false,true,8,NA,NA,0,NA,0,1 HOMBRE,EL CHAIREZ,0,0,false,N,N,28,500,500,false,1,1,1,TRANSEUNTE,-102.25060000,52,-102.25061035,21.84464731
210636969,30422,ROBO TRANSEUNTE,6,2021-06-07,23,1,2,COMUNIDAD,MOLINOS,103P,CALLE,NARANJO,0,NA,"102,,,",CALLE,LERMA,7,0,15,0,false,false,9,NA,NA,0,NA,0,1 MUJER,ND,0,0,false,N,N,3,0,0,false,1,20,1,TRANSEUNTE,-102.09660000,53,-102.09669900,22.16052200
210640411,30422,ROBO TRANSEUNTE,6,2021-06-07,23,1,6,COMUNIDAD,LAS ANIMAS,21P,CALLE,ARTICULO 123,0,NA,"203,,,",CALLE,LEY FEDERAL DE AGUA,7,19,35,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,RENE,0,0,false,N,N,14,0,0,false,1,1,1,OPORTUNISTA,-102.26624000,54,-102.26624000,22.09326700
210641102,30422,ROBO TRANSEUNTE,6,2021-06-07,23,1,6,FRACCIONAMIENTO,PLUTARCO ELIAS CALLES,95,CALLE,FELIPE COSIO,0,NA,"810,,,",CALLE,VAZQUEZ DEL MERCADO,7,22,32,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,7000,false,1,1,1,OPORTUNISTA,-102.28920000,55,-102.28927652,22.14460316
210641546,30421,ROBO TRANSEUNTE,6,2021-06-08,23,2,1,FRACCIONAMIENTO,VNSA SECTOR ALAMEDA,516,CALLE,GERONIMO DE LA CUEVA,0,NA,",,,",CALLE,LIBRADO GALLEGOS,3,0,7,0,false,true,3,NA,NA,0,NA,0,VARIOS HOMBRES,ND,0,1,false,COCHE,FORD FOCUS COLOR AZUL VIDRIOS POLARIZADOS,"31,28",2000,2000,false,1,57,1,TRANSEUNTE,-102.26070000,56,-102.26076024,21.93244025
210642605,30422,ROBO TRANSEUNTE,6,2021-06-08,23,2,1,SIN TIPO,NUEVA ANDALUCIA,419,CALLE,CENTAURY,0,NA,",,,",AVENIDA,PASEO DE LA SOLIDARIDAD,3,9,42,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,EL SOBACO,0,0,false,N,N,14,0,5000,false,1,2,1,MARIPOSA,-102.28280000,57,-102.28280800,21.90396400
210643377,30422,ROBO TRANSEUNTE,6,2021-06-08,23,2,1,FRACCIONAMIENTO,BOSQUES DEL PRADO,847,CALLE,SIERRA NEVADA,0,NA,"121,,,",CALLE,MONTE EVEREST,6,12,47,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,12000,false,1,1,2,OPORTUNISTA,-102.31250000,58,-102.31259353,21.91835992
210644022,30422,ROBO TRANSEUNTE,6,2021-06-08,23,2,1,CONDOMINIO,CC VILLASUNCION,1097,AVENIDA,MAHATMA GANDHI,0,NA,",,,",CALLE,ABRAHAM GONZALEZ,2,15,24,0,false,false,9,TIMO,BANORTE,0,CC VILLASUNCION,0,2 HOMBRES,ND,0,0,false,N,N,28,47500,47500,false,1,1,1,CUENTA HABIENTE,-102.29320000,59,-102.29329962,21.85039582
210644542,30421,ROBO TRANSEUNTE,6,2021-06-08,23,2,1,FRACCIONAMIENTO,CERRO ALTO,456,CALLE,CERRO DEL PINAL,0,NA,"320,,,",CALLE,JUAN RULFO,3,17,27,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE DE 41 AÑOS 1 MUJER DE 40 AÑOS,ND,0,0,false,N,N,"3,28",10,10,false,1,2,1,TRANSEUNTE,-102.25910000,60,-102.25911279,21.91697641
210647783,30422,ROBO TRANSEUNTE,6,2021-06-09,23,3,5,FRACCIONAMIENTO,BUENAVISTA,198,PROLONGACION,PLAN DE ALLENDE,0,NA,"203,,,",CALLE,MEZQUITAL,7,11,39,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE DE 55 AÑOS DE EDAD APROX CON ANTEOJOS,ND,0,0,false,COCHE,ND,"3,28",300,300,false,1,1,2,OPORTUNISTA,-102.35720000,61,-102.35722822,21.96800927
210647983,30422,ROBO TRANSEUNTE,6,2021-06-09,23,3,1,FRACCIONAMIENTO,PINTORES MEXICANOS,443,CALLE,PEDRO CORINEL,0,NA,",,,",CALLE,RAFAEL CORONEL,3,12,50,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,38,0,0,false,1,18,1,TRANSEUNTE,-102.26360000,62,-102.26366800,21.91992200
210652340,30421,ROBO TRANSEUNTE,6,2021-06-10,23,4,1,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,BOULEVARD,GUADALUPANO,0,NA,",,,",CALLE,SIERRA MIL CRUCES,3,13,15,0,false,true,1,NA,NA,0,NA,0,3 HOMBRES,EL GUSANO,0,0,false,N,N,"3,31,38",0,5000,false,1,1,1,TRANSEUNTE,-102.25250000,63,-102.25251520,21.91215281
